"Region","month","year","Value"
"Yukon",8,2002,0.283963438527563
"Alberta",9,2002,0.212605891994669
"British Columbia",9,2002,0.279193483901054
"Canada",9,2002,0.293021836479521
"Manitoba",9,2002,0.271967137173406
"New Brunswick",9,2002,0.271155207238347
"Newfoundland and Labrador",9,2002,0.271809670012129
"Northwest Territories",9,2002,0.252428989405607
"Nova Scotia",9,2002,0.276275266621295
"Nunavut",9,2002,0.372428231331898
"Ontario",9,2002,0.268173932315151
"Prince Edward Island",9,2002,0.259799867581027
"Québec",9,2002,0.268902444970051
"Saskatchewan",9,2002,0.227448903698776
"Yukon",9,2002,0.273612603267498
"Alberta",10,2002,0.229425012383154
"British Columbia",10,2002,0.301354989683462
"Canada",10,2002,0.308640449248836
"Manitoba",10,2002,0.263281892974182
"New Brunswick",10,2002,0.27742109498015
"Newfoundland and Labrador",10,2002,0.295199975962765
"Northwest Territories",10,2002,0.259960656788167
"Nova Scotia",10,2002,0.287372645454887
"Nunavut",10,2002,0.382505125305812
"Ontario",10,2002,0.289766513843635
"Prince Edward Island",10,2002,0.279642822256141
"Québec",10,2002,0.303062439641431
"Saskatchewan",10,2002,0.228031738157144
"Yukon",10,2002,0.316013256106303
"Alberta",11,2002,0.248928942319836
"British Columbia",11,2002,0.332843758373163
"Canada",11,2002,0.327253752789818
"Manitoba",11,2002,0.266833455436628
"New Brunswick",11,2002,0.314199976129999
"Newfoundland and Labrador",11,2002,0.345802061147922
"Northwest Territories",11,2002,0.266666205185238
"Nova Scotia",11,2002,0.309328809155154
"Nunavut",11,2002,0.382839182292529
"Ontario",11,2002,0.314671023493168
"Prince Edward Island",11,2002,0.304971243015023
"Québec",11,2002,0.355756864788149
"Saskatchewan",11,2002,0.244807107179821
"Yukon",11,2002,0.357094220290463
"Alberta",12,2002,0.30177783305111
"British Columbia",12,2002,0.388443144042339
"Canada",12,2002,0.349325120043011
"Manitoba",12,2002,0.28829946483381
"New Brunswick",12,2002,0.398393206261367
"Newfoundland and Labrador",12,2002,0.386223188140009
"Northwest Territories",12,2002,0.283197611665081
"Nova Scotia",12,2002,0.381046129290665
"Nunavut",12,2002,0.381920331623116
"Ontario",12,2002,0.347961125402086
"Prince Edward Island",12,2002,0.330469661719035
"Québec",12,2002,0.382830566259739
"Saskatchewan",12,2002,0.285029621871122
"Yukon",12,2002,0.372919211645891
"Alberta",1,2003,0.338308770756443
"British Columbia",1,2003,0.414716900033029
"Canada",1,2003,0.359458623388897
"Manitoba",1,2003,0.310906435111011
"New Brunswick",1,2003,0.420540026948032
"Newfoundland and Labrador",1,2003,0.399258535965687
"Northwest Territories",1,2003,0.28464286332146
"Nova Scotia",1,2003,0.426779825634952
"Nunavut",1,2003,0.381234506181768
"Ontario",1,2003,0.366556562003863
"Prince Edward Island",1,2003,0.338172288998252
"Québec",1,2003,0.390994235886482
"Saskatchewan",1,2003,0.31077094615402
"Yukon",1,2003,0.374372309820712
"Alberta",2,2003,0.357368763449622
"British Columbia",2,2003,0.418249730179464
"Canada",2,2003,0.360820753171833
"Manitoba",2,2003,0.309791768418608
"New Brunswick",2,2003,0.420426220376386
"Newfoundland and Labrador",2,2003,0.400051757751061
"Northwest Territories",2,2003,0.284577414456504
